State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Below_Primary_Education,Households_with_Internet,Housholds_with_Electric_Lighting,Urban_Households,LPG_or_PNG_Households,Households_with_Car_Jeep_Van,Ownership_Owned_Households,Main_source_of_drinking_water_Un_covered_well_Households,Location_of_drinking_water_source_Away_Households,Main_source_of_drinking_water_River_Canal_Households,Household_size_3_to_5_persons_Households,Total_Power_Parity,sex_ratio,literacy_rate
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,1095896,1041149,1370360,296093,4828,297559,150357,131987,15861,371091,17774,49410,110,189011,3300,95.0,64.0
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,1923928,1763237,2031532,497762,19335,408808,307442,197135,40768,574887,5894,151118,1945,279280,5708,91.65,55.0
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,783639,674609,805849,220644,1059,132079,59308,28296,3820,256601,47230,98722,108,113609,1987,86.09,55.0
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,1021161,929853,1298345,286676,12843,339899,311735,165563,24848,300393,4748,45799,524,205204,3394,91.06,67.0
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,1696325,1611418,1758624,513871,4449,347344,166489,97267,26150,562803,43217,158183,346,256563,4863,94.99,53.0
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,1025422,1012151,1085693,293818,4043,326793,139808,94821,14175,396294,52682,106055,465,194781,3317,98.71,53.0
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,581339,575258,619139,190090,1989,193276,61054,36073,7060,229656,45811,71135,116,114960,1821,98.95,54.0
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,704031,631520,741748,205450,1887,140947,71264,40116,4398,243362,43743,85519,229,118651,1900,89.7,56.0
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,1374990,1302343,1652117,369959,5647,339457,178274,131342,22494,434072,18835,62393,146,192243,4033,94.72,62.0
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,534231,502115,476806,117971,2146,134089,69639,47182,6343,184197,29684,50616,307,95045,1621,93.99,46.0
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,728136,693190,749659,237191,1908,158264,81755,32359,6295,258120,33020,90422,353,127103,2145,95.2,53.0
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,1566801,1501619,1582629,442946,14211,357846,182769,128320,27979,575790,143281,225746,5782,311221,5101,95.84,52.0
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,907500,801846,1352998,86484,80037,352758,461132,327253,87499,241976,33,4205,7,209378,7151,88.36,79.0
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,374703,380191,480604,60697,1749,177502,30322,39642,2937,181005,7201,12471,275,125800,1258,101.46,64.0
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,2335844,2310888,3776276,167207,217368,1096334,1314125,910262,146388,522493,3500,16519,49,798018,15742,98.93,81.0
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,1729297,1728748,2635907,220388,63273,896325,884957,675153,87211,561733,14470,36623,1164,668312,13938,99.97,76.0
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,1311697,1294217,1815281,169844,15396,598412,260780,244610,19828,526657,8151,35499,464,431186,5300,98.67,70.0
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,774303,732540,917709,129778,3651,337972,91107,104785,5843,344702,59989,61589,939,252941,2364,94.61,61.0
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,1080938,1078837,1481834,207751,9155,500057,269724,209640,15538,445908,21095,41028,1758,375642,4682,99.81,69.0
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,1129868,1121876,1492662,175017,18604,595211,432398,371015,33405,466373,35671,31483,5672,434027,7719,99.29,66.0
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,2012958,1985294,3013382,183054,100322,961161,774705,622095,68427,700252,39231,61890,1411,701330,8349,98.63,75.0
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,926345,944029,1548738,134236,15673,465692,493788,199188,21577,420282,65425,39419,1315,348564,4377,101.91,83.0
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,528184,536309,727044,76629,4915,264949,152420,135831,10648,221047,7098,13834,683,185113,2151,101.54,68.0
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,1526475,1511777,2273430,234611,34097,754141,592723,391821,30852,491822,3207,65204,810,552457,6917,99.04,75.0
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,798127,818323,1213008,136593,5585,381940,118724,143846,9042,365468,5211,25170,71,273370,3026,102.53,75.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,869280,857321,1176131,123573,8960,441044,257127,265276,18550,343287,35099,28446,2340,313747,3824,98.62,68.0
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,282157,283066,375823,85210,1507,135751,33179,49390,2259,132395,7474,9087,59,95746,979,100.32,66.0
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,803188,815157,1110545,97231,4494,354493,104229,82967,7882,344074,10324,57924,2213,255959,2812,101.49,69.0
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,682658,670787,978946,246909,5172,291400,126761,100484,5524,270430,48007,77511,3192,215193,2340,98.26,72.0
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,1781571,1700485,2285562,188672,20660,835377,597539,448968,30660,706525,79818,98845,1706,611941,8169,95.45,66.0
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,668672,670429,959744,101778,5773,314270,143193,113822,8222,277432,18405,53833,1326,226250,2456,100.26,72.0
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,1182416,1223474,1790998,138375,13495,555582,274302,223044,17231,475525,1831,20460,152,405697,4914,103.47,74.0
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,625683,620216,870080,90590,4667,312310,221295,147529,6607,243448,996,14993,1281,230233,2642,99.13,70.0
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,1876062,1852042,2791721,181452,75634,909400,732196,621907,54505,636443,53570,63193,412,671689,7731,98.72,75.0
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,626693,637584,946471,138960,4416,303114,86848,109580,6790,287483,860,14124,134,222880,2272,101.74,75.0
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,1235889,1228986,1626813,203879,6445,549077,147061,176242,7851,536269,32837,33865,700,382614,4189,99.44,66.0
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,1961688,1974643,2773928,191963,20623,865913,486801,417535,20393,764911,26842,78184,616,615915,8092,100.66,70.0
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,967709,974579,1398788,163264,10219,505950,370942,235005,9845,379629,4158,43124,1504,355973,4300,100.71,72.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,194544,183686,276217,64515,273,46875,14071,5532,907,77969,34233,42329,5219,53904,455,94.42,73.0
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,352860,341087,520402,129329,997,81601,42184,19631,2726,134974,60499,64573,6361,93545,848,96.66,75.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,447544,428457,646810,129846,948,133744,44906,20246,3454,196002,45913,75085,2438,143146,1118,95.74,74.0
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,879428,846311,1361354,248343,6394,314567,217016,103228,11356,365266,65588,90977,1396,285029,2817,96.23,79.0
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,2364953,2053844,2680510,600839,27183,536402,406852,251013,44989,626023,18146,107997,477,259888,5982,86.85,61.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,1951996,1721893,2092567,456870,13634,268120,275942,153283,21667,564776,1312,60227,139,233318,4290,88.21,57.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,3131807,2822584,3665727,823863,24122,391542,265304,204357,41965,853641,128221,190828,1770,338762,7224,90.13,62.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,1212410,1185478,1486939,342667,2509,99581,65031,21512,9813,357876,408,33878,282,114866,2797,97.78,62.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,740040,639505,930836,133123,2404,65479,58438,32687,5088,240103,14725,39781,81,106340,1510,86.41,67.0
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,2285004,2328909,2771917,831966,6652,183381,80434,49699,20757,647550,1647,49525,726,184249,5419,101.92,60.0
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,700070,602978,797970,139646,2989,119121,69991,44732,13301,196311,90,27716,68,76826,1514,86.13,61.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,1843884,1643847,1398368,447648,2681,85814,61742,38940,13451,582513,8513,48382,277,231407,3060,89.15,40.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,1672902,1566872,1963590,436021,4672,119972,64454,62157,10846,472507,2135,46271,455,153571,3634,93.66,61.0
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1114721,1033944,868357,379253,1551,57400,35768,16229,6167,314737,12517,24888,233,96621,2174,92.75,40.0
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,965876,833534,1002937,325773,1655,73522,67569,26907,5202,312553,20876,67991,466,127003,1949,86.3,56.0
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,1707073,1553626,1692458,533140,3159,108116,79068,60554,11935,554258,17032,63982,332,226368,3230,91.01,52.0
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,2357665,2090694,2191759,717585,15164,272830,362798,210687,24436,698240,330,23048,198,299042,5126,88.68,49.0
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,1255272,1209192,1393783,470355,3423,108101,31065,37593,11477,372178,642,25061,354,117645,2775,96.33,57.0
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,1921215,1761498,2135393,498971,7303,268353,224648,128042,17143,604085,423,44423,219,257846,4310,91.69,58.0
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,3499171,1845260,1653911,2031656,443641,7865,223922,221628,124641,20979,549364,412,31123,116,227306,4534,89.63,58.0
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,1017905,934851,1174606,295979,3492,99602,50822,32433,7313,283240,41519,62997,374,103566,2183,91.84,60.0
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,527721,464009,531072,168472,827,41046,23558,11637,2805,162755,18242,43562,557,62599,1019,87.93,54.0
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,1537436,1563510,1875239,602403,4469,150001,67928,60348,13388,463312,334,32291,293,142877,3643,101.7,60.0
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,947339,827141,1055202,238019,2635,69591,67752,37027,6644,280646,1322,40148,80,104978,3461,87.31,59.0
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,845856,735954,1062003,171216,2964,113098,85483,47520,7736,261034,13009,44580,240,112947,1825,87.01,67.0
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,1259628,1211368,1450901,356093,4746,127754,79288,58328,15426,403711,5435,34074,322,156671,2985,96.17,59.0
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,1006240,878964,1092677,270550,2624,88081,94843,59209,6765,294748,1018,41197,123,115712,2058,87.35,58.0
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,1384722,1248011,1512166,409875,3385,75263,77733,43492,16758,460648,42732,116929,329,194029,2868,90.13,57.0
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,1332046,1166110,1521806,324525,5834,196080,185621,100919,10940,379586,2815,76359,191,158210,2940,87.54,61.0
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,890214,757901,1122947,201277,53181,257586,338935,193902,78631,219857,169,11979,97,163768,2578,85.14,68.0
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,2488834,2192811,3123264,534606,78116,695130,836316,501592,119441,672322,484,37264,446,412399,5946,88.11,67.0
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,1855075,1765193,2197549,566504,5309,105767,61467,36798,21169,514080,18183,97930,259,159312,4079,95.15,61.0
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,1787146,1646773,1679994,678171,4313,104084,52794,45517,13053,521253,2818,30149,614,178376,3614,92.15,49.0
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,2277777,2163118,2700328,873031,14597,296619,189170,149727,30258,666811,934,42575,807,242957,5455,94.97,61.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,217070,237698,358091,37327,2521,104120,15232,34978,6665,99538,1443,5748,22,64353,878,109.5,79.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,593537,510748,653299,159593,1196,55929,55300,20175,3791,202503,9366,41867,255,88512,1291,86.05,59.0
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,2191442,1901403,2221601,741817,3845,95508,121064,60689,12396,697057,28171,89562,231,273230,4209,86.76,54.0
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,906092,783882,1075196,169207,2217,104176,91565,42616,7009,276057,10397,42936,84,118550,1906,86.51,64.0
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,2220465,2273739,2731677,665376,8002,181467,80582,56508,22876,653913,50739,103567,830,195412,5261,102.4,61.0
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,1057436,941167,1304513,184997,8517,183340,195321,94342,18860,326556,32093,69967,416,173991,2651,89.0,65.0
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,963449,876772,983110,251669,2825,89329,115486,55064,7361,300111,70,16955,55,125550,2074,91.0,53.0
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,881776,774840,1017087,237853,2488,61491,65985,32510,6011,268151,1521,60021,190,109000,1730,87.87,61.0
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,963255,832929,1170243,235341,2682,49753,41323,23831,12752,320512,21093,76669,218,146889,2056,86.47,65.0
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,838485,761111,813424,184229,1503,43753,30764,22034,4403,271140,15274,71044,228,103416,1645,90.77,51.0
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,1818055,1746489,1954820,836856,3486,127331,42775,29304,12849,549999,580,40527,567,194609,3704,96.06,55.0
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,641011,580581,641191,185575,1079,77082,43819,20720,5511,209129,31045,65446,237,94058,1287,90.57,52.0
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,2394476,2195362,3127260,489898,68506,582769,717566,469747,90205,688062,4305,75948,491,406787,7486,91.68,68.0
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,466358,409600,488106,119002,1316,42936,48525,12874,5755,157367,25175,46210,191,65642,904,87.83,56.0
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,993377,875152,1203885,234774,2642,79022,72783,43074,7361,301040,2801,41621,70,117640,1998,88.1,64.0
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,1367125,1180059,1507746,303291,8726,281239,177802,107867,16580,385642,32876,106867,131,159951,3025,86.32,59.0
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,1114709,1091259,1363044,344570,2656,149908,99321,40087,7411,313109,407,23942,233,94455,2693,97.9,62.0
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,1825743,1617946,2141488,412280,23717,425624,422303,236071,42392,510035,177,21439,75,241587,4953,88.62,62.0
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,1312302,1184668,1428683,361642,4447,145997,77963,43500,10205,381372,62226,102159,968,146756,2875,90.27,57.0
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,2503186,2268820,2263848,635957,11690,281758,355518,179473,19316,737631,192,34055,162,304648,5452,90.64,47.0
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,2193434,1950078,2417339,826387,10077,368153,296104,147785,32866,645420,264,53004,202,263529,4871,88.91,58.0
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,1072002,959005,1061095,294135,2870,83006,89638,47723,7560,349881,307,12043,163,154326,2125,89.46,52.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,437744,430104,401515,142397,716,71612,24269,17984,2803,171300,45188,60829,1456,91586,2829,98.25,46.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,1606085,1603056,1931559,427626,5149,140538,41701,46358,15781,523892,69561,87032,459,184070,3639,99.81,60.0
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,1752542,1653017,1965843,540661,5184,247856,73393,65080,13483,597191,52141,100286,497,256164,3812,94.32,58.0
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,1223889,1111930,1043666,278477,3847,131112,143217,62281,14386,373771,167,12155,159,150333,2545,90.85,45.0
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,1834106,1632276,2077108,474060,9699,404499,284156,149035,21310,555491,276,49192,726,253552,4029,89.0,60.0
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,869656,845527,954949,341757,2031,79525,27179,17671,6778,253488,369,18525,283,75305,1850,97.23,56.0
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,1606403,1400135,1490930,451571,3889,115163,134714,91958,9927,497520,1670,34164,273,201954,3441,87.16,50.0
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,2375264,2108728,2283733,714304,3874,102040,111319,74072,11679,776437,35189,122069,535,326643,4535,88.78,51.0
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,971344,891215,985708,306218,5149,95582,91040,40467,10279,288821,57297,97142,3847,136612,2337,91.75,53.0
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,1914586,1882531,2239902,460210,5956,233701,49891,55055,18382,612902,47690,100353,476,215780,4190,98.33,59.0
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,1630087,1478280,1773584,501457,3476,99466,121039,70484,10191,548851,32612,81298,263,241767,3620,90.69,57.0
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,1921857,1754984,2403903,467782,19214,336056,316129,202055,24216,500257,39259,96168,245,203836,5059,91.32,65.0
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,291081,331425,436497,90864,1830,109876,21082,40199,3396,123666,940,37135,2135,69633,742,113.86,70.0
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,124326,135572,179483,38113,435,47083,3880,13352,1149,53896,869,15919,983,31288,281,109.05,69.0
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,193991,197614,280556,47447,899,71524,22906,27853,2516,72625,537,21344,847,45109,467,101.87,72.0
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,131125,128523,177726,36127,548,37725,12839,18785,1387,44945,1062,13589,1076,26364,309,98.02,68.0
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,239306,244133,345550,63591,1344,95421,26256,45365,3008,94192,1194,24590,2067,63782,631,102.02,71.0
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,297986,320945,407994,72163,1366,117239,27177,50929,4324,114292,1499,40050,2673,65081,743,107.7,66.0
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,858783,790119,1037839,179602,7883,254802,145253,116576,16841,255817,86,11164,72,150705,1805,92.0,63.0
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,168597,161489,215126,43442,602,52621,9061,21374,1637,55125,724,18920,1367,32005,356,95.78,65.0
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,1838095,1758579,2232992,450029,4273,334670,90885,45126,7898,736418,79084,286251,3939,469864,3959,95.67,62.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,3966889,3750674,5247208,800473,32323,1049943,862368,292585,46714,1485095,90491,441435,3377,1100028,13547,94.55,68.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,1790920,1711484,2158447,417769,5210,333752,134565,57010,7305,764002,38633,284762,2587,527618,3911,95.56,62.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,857199,819077,1083685,247675,2518,168069,70077,37186,6211,381199,2362,100724,217,270930,2039,95.55,65.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,937259,909564,1315585,183479,10943,297176,215675,141897,15192,305878,78413,127566,1776,235480,3146,97.05,71.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,2500819,2349210,3605206,516323,30751,796953,869313,325053,22295,861570,5450,310147,423,659612,9414,93.94,74.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,2814653,2704492,4078388,676265,31725,965258,647953,319815,24013,1121201,2976,316172,2920,837497,9450,96.09,74.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1983064,1889782,2498780,455854,9322,382500,319426,138522,16431,693346,321013,143585,7022,554594,5160,95.3,65.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,2356766,2139928,3588137,255171,136618,927602,1308106,623579,85605,540172,1735,58437,1464,590949,16375,90.8,80.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,2051541,1937304,2086432,478902,5357,297716,128678,54213,9639,810212,68379,230891,1850,492634,4191,94.43,52.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,3627564,3476243,4055834,837828,7951,541169,350899,92742,14050,1481222,7421,394901,2227,963617,8088,95.83,57.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,2653768,2513832,3480555,605490,12787,623729,468390,168314,18658,1162914,2492,143983,971,856282,7048,94.73,67.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,1496996,1433119,1624905,299355,3551,189889,99433,30675,6602,546915,157386,287559,13793,307951,3309,95.73,55.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,1551066,1456068,1489667,402590,2883,199307,94269,39138,8150,573488,9714,77223,484,326958,3214,93.88,50.0
